scan,cell,class,score,votes,u,v,world_x,world_y
1,1,green,0.997,5,555.0,388.7,0.1045,0.0535
1,2,unknown,0.199,5,652.0,387.3,0.1044,-0.0080
1,3,blue,0.989,5,739.6,386.0,0.1044,-0.0694
1,4,empty,0,0,,,,
1,5,red,0.988,5,652.0,295.2,0.1560,-0.0081
1,6,red,0.970,5,739.5,115.6,0.2633,-0.0694
2,1,empty,0,0,,,,
2,2,unknown,0.199,5,652.0,387.3,0.1044,-0.0080
2,3,blue,0.989,5,739.6,386.0,0.1044,-0.0694
2,4,empty,0,0,,,,
2,5,red,0.988,5,652.0,295.2,0.1560,-0.0081
2,6,red,0.970,5,739.5,115.6,0.2633,-0.0694
3,1,empty,0,0,,,,
3,2,unknown,0.199,5,652.0,387.3,0.1044,-0.0080
3,3,empty,0,0,,,,
3,4,empty,0,0,,,,
3,5,red,0.988,5,652.0,295.2,0.1560,-0.0081
3,6,red,0.970,5,739.5,115.6,0.2633,-0.0694
4,1,empty,0,0,,,,
4,2,unknown,0.199,5,652.0,387.3,0.1044,-0.0080
4,3,empty,0,0,,,,
4,4,empty,0,0,,,,
4,5,empty,0,0,,,,
4,6,red,0.970,5,739.5,115.6,0.2633,-0.0694
5,1,empty,0,0,,,,
5,2,unknown,0.199,5,652.0,387.3,0.1044,-0.0080
5,3,empty,0,0,,,,
5,4,empty,0,0,,,,
5,5,empty,0,0,,,,
5,6,red,0.970,5,739.5,115.6,0.2633,-0.0694
