stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
8.220,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.232,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.244,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.256,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.268,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.280,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.292,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.304,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.316,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.328,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.340,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.352,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.364,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.376,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.388,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.400,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.412,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.424,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.436,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.448,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.460,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.472,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.484,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.496,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.508,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.520,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.532,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.544,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.556,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.568,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.580,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.592,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.604,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.616,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.628,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.640,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.652,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.664,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.676,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.688,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.700,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.712,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.724,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.736,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.748,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.760,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.772,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.784,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.796,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.808,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.820,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
