scan,cell,class,score,votes,u,v,world_x,world_y
1,1,green,0.993,5,347.0,317.6,0.1046,0.0533
1,2,red,0.996,5,407.5,316.8,0.1045,-0.0080
1,3,blue,1.000,5,462.0,316.0,0.1044,-0.0691
1,4,blue,0.997,5,347.0,257.2,0.1560,0.0533
1,5,green,0.991,5,407.5,259.3,0.1560,-0.0080
1,6,red,0.988,5,462.0,261.3,0.1559,-0.0691
2,1,empty,0,0,,,,
2,2,red,0.996,5,407.5,316.8,0.1045,-0.0080
2,3,blue,1.000,5,462.0,316.0,0.1044,-0.0691
2,4,blue,0.997,5,347.0,257.2,0.1560,0.0533
2,5,green,0.991,5,407.5,259.3,0.1560,-0.0080
2,6,red,0.988,5,462.0,261.3,0.1559,-0.0691
3,1,empty,0,0,,,,
3,2,empty,0,0,,,,
3,3,blue,1.000,5,462.0,316.0,0.1044,-0.0691
3,4,blue,0.997,5,347.0,257.2,0.1560,0.0533
3,5,green,0.990,5,407.5,260.0,0.1554,-0.0080
3,6,red,0.988,5,462.0,261.3,0.1559,-0.0691
4,1,empty,0,0,,,,
4,2,empty,0,0,,,,
4,3,empty,0,0,,,,
4,4,blue,0.997,5,347.0,257.2,0.1560,0.0533
4,5,green,0.990,5,407.5,260.0,0.1554,-0.0080
4,6,red,0.988,5,462.0,261.3,0.1559,-0.0691
5,1,empty,0,0,,,,
5,2,empty,0,0,,,,
5,3,empty,0,0,,,,
5,4,empty,0,0,,,,
5,5,green,0.990,5,407.5,260.0,0.1554,-0.0080
5,6,red,0.988,5,462.0,261.3,0.1559,-0.0691
6,1,empty,0,0,,,,
6,2,empty,0,0,,,,
6,3,empty,0,0,,,,
6,4,empty,0,0,,,,
6,5,empty,0,0,,,,
6,6,red,0.988,5,462.0,261.3,0.1559,-0.0691
7,1,empty,0,0,,,,
7,2,empty,0,0,,,,
7,3,empty,0,0,,,,
7,4,empty,0,0,,,,
7,5,empty,0,0,,,,
7,6,empty,0,0,,,,
