stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
6.972,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.984,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
6.996,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.008,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.020,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.032,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.044,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.056,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.068,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.080,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.092,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.104,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.116,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.128,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.140,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.152,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.164,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.176,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.188,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.200,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.212,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.224,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.236,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.248,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.260,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.272,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.284,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.296,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.308,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.320,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.332,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.344,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.356,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.368,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.380,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.392,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.404,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.416,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.428,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.440,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.452,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.464,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.476,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.488,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.500,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.512,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.524,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.536,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.548,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.560,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.572,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.584,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.596,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.608,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.620,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.632,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.644,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.656,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.668,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.680,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.692,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.704,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.716,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.728,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.740,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.752,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.764,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.776,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.788,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.800,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.812,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.824,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.836,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.848,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.860,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.872,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.884,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.896,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.908,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.920,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.932,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.944,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.956,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.968,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.980,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
7.992,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.004,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.016,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.028,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.040,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.052,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.064,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.076,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.088,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.100,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.112,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.124,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.136,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.148,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
