scan,cell,class,score,votes,u,v,world_x,world_y
1,1,green,0.990,5,539.4,404.0,0.1044,0.0694
1,2,red,0.998,5,627.0,405.4,0.1044,0.0080
1,3,blue,0.997,5,724.0,406.7,0.1045,-0.0535
1,4,blue,0.990,5,539.4,316.4,0.1560,0.0695
1,5,green,0.987,5,626.9,313.2,0.1560,0.0080
1,6,red,0.986,5,724.0,309.8,0.1560,-0.0535
2,1,empty,0,0,,,,
2,2,red,0.998,5,627.0,405.4,0.1044,0.0080
2,3,blue,0.997,5,724.0,406.7,0.1045,-0.0535
2,4,blue,0.990,5,539.4,316.4,0.1560,0.0695
2,5,green,0.987,5,626.9,313.2,0.1560,0.0080
2,6,red,0.986,5,724.0,309.8,0.1560,-0.0535
3,1,empty,0,0,,,,
3,2,empty,0,0,,,,
3,3,blue,0.997,5,724.0,406.7,0.1045,-0.0535
3,4,blue,0.990,5,539.4,316.4,0.1560,0.0695
3,5,green,0.987,5,626.9,313.3,0.1559,0.0080
3,6,red,0.986,5,724.0,309.8,0.1560,-0.0535
4,1,empty,0,0,,,,
4,2,empty,0,0,,,,
4,3,empty,0,0,,,,
4,4,blue,0.990,5,539.4,316.4,0.1560,0.0695
4,5,green,0.987,5,626.9,313.3,0.1559,0.0080
4,6,red,0.986,5,724.0,309.8,0.1560,-0.0535
5,1,empty,0,0,,,,
5,2,empty,0,0,,,,
5,3,empty,0,0,,,,
5,4,empty,0,0,,,,
5,5,green,0.987,5,626.9,313.3,0.1559,0.0080
5,6,red,0.986,5,724.0,309.8,0.1560,-0.0535
6,1,empty,0,0,,,,
6,2,empty,0,0,,,,
6,3,empty,0,0,,,,
6,4,empty,0,0,,,,
6,5,empty,0,0,,,,
6,6,red,0.986,5,724.0,309.8,0.1560,-0.0535
7,1,empty,0,0,,,,
7,2,empty,0,0,,,,
7,3,empty,0,0,,,,
7,4,empty,0,0,,,,
7,5,empty,0,0,,,,
7,6,empty,0,0,,,,
