stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
1.284,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.296,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.308,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.320,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.332,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.344,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.356,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.368,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.380,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.392,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.404,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.416,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.428,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.440,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.452,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.464,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.476,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.488,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.500,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.512,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.524,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.536,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.548,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.560,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.572,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.584,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.596,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.608,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.620,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.632,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.644,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.656,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
1.668,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
